source_page	tag	attr	raw_link	url	local_path	download_status	error
matterd.html	img	src	images/omm_1d_history_v7_480.png	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/omm_1d_history_v7_480.png	figures/graphic_history_images/omm_1d_history_v7_480.png	downloaded	
fluctsize.html	a	href	images/sig8_1d_history_v6.eps	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/sig8_1d_history_v6.eps	figures/graphic_history_images/sig8_1d_history_v6.eps	downloaded	
fluctsize.html	a	href	images/sig8_1d_history_v6.pdf	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/sig8_1d_history_v6.pdf	figures/graphic_history_images/sig8_1d_history_v6.pdf	downloaded	
fluctsize.html	a	href	images/sig8_1d_history_v6.svg	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/sig8_1d_history_v6.svg	figures/graphic_history_images/sig8_1d_history_v6.svg	downloaded	
fluctsize.html	a	href	images/sig8_1d_history_v6_1024.png	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/sig8_1d_history_v6_1024.png	figures/graphic_history_images/sig8_1d_history_v6_1024.png	downloaded	
fluctsize.html	a	href	images/sig8_1d_history_v6_2048.png	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/sig8_1d_history_v6_2048.png	figures/graphic_history_images/sig8_1d_history_v6_2048.png	downloaded	
fluctsize.html	a	href	images/sig8_1d_history_v6_480.png	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/sig8_1d_history_v6_480.png	figures/graphic_history_images/sig8_1d_history_v6_480.png	downloaded	
fluctsize.html	img	src	images/sig8_1d_history_v6_480.png	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/sig8_1d_history_v6_480.png	figures/graphic_history_images/sig8_1d_history_v6_480.png	downloaded	
supernovae.html	a	href	images/supernova-type-1a_1280.jpg	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/supernova-type-1a_1280.jpg	figures/graphic_history_images/supernova-type-1a_1280.jpg	downloaded	
supernovae.html	a	href	images/supernova-type-1a_1280.png	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/supernova-type-1a_1280.png	figures/graphic_history_images/supernova-type-1a_1280.png	downloaded	
supernovae.html	a	href	images/supernova-type-1a_800.jpg	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/supernova-type-1a_800.jpg	figures/graphic_history_images/supernova-type-1a_800.jpg	downloaded	
supernovae.html	img	src	images/supernova-type-1a_800.jpg	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/supernova-type-1a_800.jpg	figures/graphic_history_images/supernova-type-1a_800.jpg	downloaded	
age.html	a	href	images/t0_1d_history_v7.eps	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/t0_1d_history_v7.eps	figures/graphic_history_images/t0_1d_history_v7.eps	downloaded	
age.html	a	href	images/t0_1d_history_v7.pdf	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/t0_1d_history_v7.pdf	figures/graphic_history_images/t0_1d_history_v7.pdf	downloaded	
age.html	a	href	images/t0_1d_history_v7.svg	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/t0_1d_history_v7.svg	figures/graphic_history_images/t0_1d_history_v7.svg	downloaded	
age.html	a	href	images/t0_1d_history_v7_1024.png	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/t0_1d_history_v7_1024.png	figures/graphic_history_images/t0_1d_history_v7_1024.png	downloaded	
age.html	a	href	images/t0_1d_history_v7_2048.png	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/t0_1d_history_v7_2048.png	figures/graphic_history_images/t0_1d_history_v7_2048.png	downloaded	
age.html	a	href	images/t0_1d_history_v7_480.png	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/t0_1d_history_v7_480.png	figures/graphic_history_images/t0_1d_history_v7_480.png	downloaded	
age.html	img	src	images/t0_1d_history_v7_480.png	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/t0_1d_history_v7_480.png	figures/graphic_history_images/t0_1d_history_v7_480.png	downloaded	
taureionzation.html	a	href	images/tau_1d_history_v9.eps	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/tau_1d_history_v9.eps	figures/graphic_history_images/tau_1d_history_v9.eps	downloaded	
taureionzation.html	a	href	images/tau_1d_history_v9.pdf	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/tau_1d_history_v9.pdf	figures/graphic_history_images/tau_1d_history_v9.pdf	downloaded	
taureionzation.html	a	href	images/tau_1d_history_v9.svg	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/tau_1d_history_v9.svg	figures/graphic_history_images/tau_1d_history_v9.svg	downloaded	
taureionzation.html	a	href	images/tau_1d_history_v9_1024.png	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/tau_1d_history_v9_1024.png	figures/graphic_history_images/tau_1d_history_v9_1024.png	downloaded	
taureionzation.html	a	href	images/tau_1d_history_v9_2048.png	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/tau_1d_history_v9_2048.png	figures/graphic_history_images/tau_1d_history_v9_2048.png	downloaded	
taureionzation.html	a	href	images/tau_1d_history_v9_480.png	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/tau_1d_history_v9_480.png	figures/graphic_history_images/tau_1d_history_v9_480.png	downloaded	
taureionzation.html	img	src	images/tau_1d_history_v9_480.png	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/tau_1d_history_v9_480.png	figures/graphic_history_images/tau_1d_history_v9_480.png	downloaded	
intensitymapping.html	a	href	images/universe_line-mapping_1280.jpg	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/universe_line-mapping_1280.jpg	figures/graphic_history_images/universe_line-mapping_1280.jpg	downloaded	
intensitymapping.html	a	href	images/universe_line-mapping_1920.jpg	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/universe_line-mapping_1920.jpg	figures/graphic_history_images/universe_line-mapping_1920.jpg	downloaded	
intensitymapping.html	a	href	images/universe_line-mapping_360.jpg	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/universe_line-mapping_360.jpg	figures/graphic_history_images/universe_line-mapping_360.jpg	downloaded	
intensitymapping.html	a	href	images/universe_line-mapping_3840.jpg	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/universe_line-mapping_3840.jpg	figures/graphic_history_images/universe_line-mapping_3840.jpg	downloaded	
intensitymapping.html	a	href	images/universe_line-mapping_720.jpg	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/universe_line-mapping_720.jpg	figures/graphic_history_images/universe_line-mapping_720.jpg	downloaded	
intensitymapping.html	img	src	images/universe_line-mapping_720.jpg	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/universe_line-mapping_720.jpg	figures/graphic_history_images/universe_line-mapping_720.jpg	downloaded	
intensitymapping.html	a	href	images/universe_line-mapping_sm.jpg	https://lambda.gsfc.nasa.gov/resources/graphic_history/images/universe_line-mapping_sm.jpg	figures/graphic_history_images/universe_line-mapping_sm.jpg	downloaded	
power_spectrum.html	a	href	/resources/lambda_graphics/images/ilc_9yr_moll_maps/ilc_9yr_moll4096.png	https://lambda.gsfc.nasa.gov/resources/lambda_graphics/images/ilc_9yr_moll_maps/ilc_9yr_moll4096.png	figures/lambda_graphics_images/ilc_9yr_moll_maps/ilc_9yr_moll4096.png	downloaded	
power_spectrum.html	img	src	/resources/lambda_graphics/images/ilc_9yr_moll_maps/ilc_9yr_moll720.jpg	https://lambda.gsfc.nasa.gov/resources/lambda_graphics/images/ilc_9yr_moll_maps/ilc_9yr_moll720.jpg	figures/lambda_graphics_images/ilc_9yr_moll_maps/ilc_9yr_moll720.jpg	downloaded	
