a,z,H_km_s_Mpc,Omega_A,Omega_Bfoam,Omega_clustering,w_dark,w_eff,D,f
0.00022230836085133164,4497.256368633604,17369153.70993192,0.3652437444184776,1.0266572504165401e-11,0.43281189093716904,-2.8108825026483978e-11,0.18906270300725492,0.0004666084138892089,0.7436225082354156
0.00022402263950747022,4462.834557965085,17132863.694575746,0.36683591088386575,1.0551710714594845e-11,0.43469859971120034,-2.8764116056325336e-11,0.1884338000821976,0.00046928055433356335,0.743137026317589
0.00022575013742040845,4428.676151814369,16899910.69662006,0.36842967548342603,1.0844610946416407e-11,0.4365872022656786,-2.943468365263386e-11,0.187804265896981,0.00047196627828248233,0.7426741124918707
0.00022749095652733784,4394.7791345425585,16670246.10773463,0.3700249935321957,1.1145479890067545e-11,0.4384776456491612,-3.012088395256487e-11,0.18717411810208565,0.0004746657256421561,0.7422334928202442
0.00022924519955151305,4361.14150593497,16443822.04315087,0.37162182016630735,1.1454529611784004e-11,0.44036987669820404,-3.082308139577174e-11,0.1865433744186593,0.0004773790373729353,0.7418148964578711
0.0002310129700083161,4327.761281083056,16220591.33075571,0.3732201103479046,1.1771977690087293e-11,0.4422638420431874,-3.1541648917960243e-11,0.1859120526365749,0.00048010635549619796,0.7414180555878375
0.00023279437221136357,4294.636490267295,16000507.500351286,0.3748198188700988,1.2098047355657172e-11,0.44415948811418904,-3.227696814895346e-11,0.1852801706124729,0.0004828478231012803,0.7410427053577571
0.00023458951127866077,4261.765178840987,15783524.773077434,0.37642090036196535,1.2432967634671964e-11,0.44605676114690496,-3.3029429615374174e-11,0.1846477462677877,0.0004856035843524534,0.7406885838181786
0.00023639849313880737,4229.145407114861,15569598.05099403,0.37802330929358424,1.2776973495701827e-11,0.4479556071886226,-3.379943294805398e-11,0.18401479758675648,0.0004883737844959647,0.7403554318627498
0.00023822142453724495,4196.775250242676,15358682.906821946,0.3796269999811143,1.3130306000239288e-11,0.4498559721042335,-3.4587387094275045e-11,0.18338134261441508,0.0004911585698671295,0.7400429931700894
0.00024005841304255908,4164.652798107574,15150735.573838744,0.3812319265919102,1.3493212456957778e-11,0.4517578015822972,-3.5393710534962656e-11,0.18274739945457666,0.0004939580878974803,0.7397510141473234
0.00024190956705282354,4132.776155209435,14945712.935928272,0.3828380431496707,1.3865946579786065e-11,0.45366104114114164,-3.6218831506938197e-11,0.1821129862677982,0.0004967724871219785,0.7394792438752398
0.0002437749958019996,4101.143440552968,14743572.517780332,0.3844453035396277,1.4248768649893726e-11,0.4555656361350123,-3.706318823035614e-11,0.18147812126933088,0.0004996019171862767,0.7392274340550163
0.0002456548093663806,4069.7527875367387,14544272.475239376,0.3860536615137652,1.4641945681680362e-11,0.4574715317602567,-3.792722914144142e-11,0.18084282272705857,0.0005024465288540483,0.7389953389564815
0.000247549118671086,4038.602343843049,14347771.585799431,0.38766307069607153,1.5045751592866494e-11,0.459378673061548,-3.8811413130652416e-11,0.18020710895942296,0.0005053064740143678,0.7387827153678657
0.0002494580354966099,4007.690271328581,14154029.239242615,0.3892734845878266,1.5460467378786413e-11,0.4612870049381507,-3.971620978639823e-11,0.17957099833333579,0.0005081819056891599,0.7385893225470049
0.0002513816724854139,3977.014745915989,13963005.428420182,0.3908848565729144,1.5886381290982527e-11,0.4631964721502156,-4.064209964443449e-11,0.17893450926207963,0.000511072978040703,0.7384149221739574
0.0002533201431485769,3946.5739574862064,13774660.740172558,0.39249713992316926,1.6323789020208234e-11,0.4651070193251156,-4.1589574443076686e-11,0.17829766020319643,0.0005139798463791949,0.7382592783049964
0.0002552735618724902,3916.3661097716913,13588956.346387636,0.3941102878037457,1.677299388394299e-11,0.46701859096380804,-4.255913738435968e-11,0.17766046965636667,0.0005169026671703859,0.7381221573279397
0.0002572420439256107,3886.38942025037,13405853.995193876,0.39572425327851934,1.7234307018531964e-11,0.4689311314472358,-4.355130340128915e-11,0.17702295616127567,0.0005198415980432655,0.7380033279187826
0.00025922570546525894,3856.6421200405166,13225316.002287522,0.3973389893155073,1.7708047576058808e-11,0.47084458504274973,-4.4566599431319665e-11,0.17638513829547267,0.0005227967977978227,0.7379025609995993
0.0002612246635444768,3827.1224537963176,13047305.242390558,0.3989544487923184,1.8194542926069356e-11,0.4727588959105673,-4.560556469621178e-11,0.1757470346722182,0.0005257684264128597,0.7378196296976796
0.00026323903611893317,3797.828679604317,12871785.140838522,0.4005705845016213,1.869412886226083e-11,0.47467400811025257,-4.666875098841096e-11,0.1751086639383236,0.0005287566450538814,0.7377543093058685
0.00026526894205388296,3768.7590688806463,12698719.665295722,0.40218734915663573,1.92071498142576e-11,0.4765898656072226,-4.775672296410277e-11,0.17447004477198294,0.0005317616160810386,0.7377063772440728
0.00026731450113118434,3739.9119062689792,12528073.317595577,0.40380469539664365,1.973395906459755e-11,0.47850641227927915,-4.8870058443102427e-11,0.17383119588059504,0.0005347835030571474,0.7376756130219086
0.0002693758340563633,3711.2854895393602,12359811.12570514,0.4054225757925174,2.027491897105211e-11,0.4804235919231584,-5.0009348715731714e-11,0.17319213599858063,0.0005378224707557702,0.7376617982024594
0.00027145306246573994,3682.878129487708,12193898.635810709,0.40704094285226833,2.0830401194412278e-11,0.48234134826110714,-5.117519885685424e-11,0.17255288388519044,0.000540878685169361,0.7376647163671098
0.0002735463089336025,3654.6881498361895,12030301.90452394,0.4086597490266058,2.1400786931868736e-11,0.484259624947469,-5.236822804722741e-11,0.1719134583223093,0.0005439523135174882,0.7376841530814322
