a,z,rho_de_eff,w_eff_de,positive_rho_de_eff
0.001232846739442068,810.1308307896859,4095904.423657745,-1.4039066320581384e-07,True
0.0012423535472095384,803.9238497737693,4002593.4018951505,-1.4175471585442523e-07,True
0.0012519336644898928,797.7643661674801,3911408.1492891014,-1.4315097962569467e-07,True
0.0012615876565922023,791.6520165084665,3822300.237535812,-1.4457930319622392e-07,True
0.0012713160931847871,785.5864401156833,3735222.341602981,-1.4604033060638955e-07,True
0.0012811195483288307,779.5672790681089,3650128.2145956606,-1.4753610833029285e-07,True
0.0012909986005122547,773.594178183625,3566972.663194753,-1.490667121961664e-07,True
0.0013009538326838538,767.6667849980585,3485711.523654457,-1.5063312730489997e-07,True
0.001310985832287695,761.7847497443822,3406301.6383476183,-1.5223580851486673e-07,True
0.001321095191297784,755.9477253320749,3328700.832844071,-1.538755137753256e-07,True
0.0013312825062529933,750.1553673266421,3252867.893512666,-1.555541379039127e-07,True
0.0013415483782922646,744.4073339292903,3178762.5456322245,-1.5727160496137316e-07,True
