a,z,k_h_Mpc,delta_A,theta_A,Phi,Q,deltaQ,curvature_proxy,conservation_residual
0.00014570335698348635,6862.259850034461,0.0001,1.0000000813574164e-05,-4.76388111172162e-12,-1.4285815944244178e-06,10545.270452098917,0.10545271310034876,-1.9047520101003037e-06,0.0
0.0001468269141634683,6809.740426558716,0.0001,1.0000000852052662e-05,-4.909730866831392e-12,-1.4358613546397236e-06,10419.543828432072,0.10419544716232076,-1.8974722627111638e-06,0.0
0.00014795913539047555,6757.622895172529,0.0001,1.0000000891682706e-05,-5.058094060459443e-12,-1.4431591233012291e-06,10295.316187921177,0.10295317105936716,-1.8901745072596729e-06,0.0
0.0001491000874752702,6705.904180494598,0.0001,1.000000093248409e-05,-5.2090104227910995e-12,-1.4504747511910277e-06,10172.569658850356,0.10172570607426291,-1.8828588929703355e-06,0.0
0.0001502498377438088,6654.581230677277,0.0001,1.0000000974476915e-05,-5.362520225202506e-12,-1.4578080873033206e-06,10051.28658258044,0.10051287562055115,-1.8755255708556512e-06,0.0
0.00015140845404121715,6603.65101722639,0.0001,1.0000001017681603e-05,-5.5186642858698095e-12,-1.4651589788526848e-06,9931.449511008324,0.0993145052171367,-1.8681746937078495e-06,0.0
0.00015257600473579186,6553.110534822624,0.0001,1.0000001062118894e-05,-5.677483975404705e-12,-1.4725272712826714e-06,9813.04120405706,0.09813042246318708,-1.8608064160902935e-06,0.0
0.00015375255872303653,6502.956801144093,0.0001,1.0000001107809854e-05,-5.839021222517098e-12,-1.479912808274774e-06,9696.044627195437,0.09696045701332816,-1.8534208943285108e-06,0.0
0.00015493818542972526,6453.186856690447,0.0001,1.0000001154775878e-05,-6.00331851970336e-12,-1.4873154317577405e-06,9580.442948987555,0.09580444055313996,-1.8460182865008853e-06,0.0
0.00015613295481800113,6403.797764608157,0.0001,1.0000001203038694e-05,-6.1704189289609706e-12,-1.4947349819172514e-06,9466.21953867124,0.09466220677494078,-1.8385987524289798e-06,0.0
0.00015733693738950388,6354.7866105172525,0.0001,1.0000001252620368e-05,-6.3403660875282535e-12,-1.5021712972059467e-06,9353.357963765557,0.09353359135386227,-1.8311624536675096e-06,0.0
0.00015855020418952922,6306.1505023393765,0.0001,1.0000001303543312e-05,-6.513204213649135e-12,-1.5096242143538024e-06,9241.84198770689,0.0924184319242102,-1.823709553493968e-06,0.0
0.00015977282681122308,6257.886570127055,0.0001,1.000000135583028e-05,-6.68897811236306e-12,-1.5170935683788802e-06,9131.655567512906,0.09131656805610418,-1.8162402168978798e-06,0.0
0.000161004877399804,6209.991965894427,0.0001,1.000000140950438e-05,-6.867733181318572e-12,-1.5245791925984075e-06,9022.782851474798,0.09022784123239994,-1.8087546105697195e-06,0.0
0.0001622464286568225,6162.463863449112,0.0001,1.000000146458908e-05,-7.049515416611456e-12,-1.532080918640234e-06,8915.208176876587,0.0891520948258824,-1.801252902889459e-06,0.0
0.00016349755384444887,6115.299458225518,0.0001,1.0000001521108202e-05,-7.234371418645805e-12,-1.53959857645462e-06,8808.91606774206,0.08808917407673508,-1.7937352639147807e-06,0.0
0.0001647583267897983,6068.495967119273,0.0001,1.000000157908594e-05,-7.422348398018791e-12,-1.5471319943264027e-06,8703.891232608177,0.08703892607027404,-1.7862018653689106e-06,0.0
0.00016602882188928642,6022.050628323036,0.0001,1.0000001638546857e-05,-7.613494181427754e-12,-1.5546809988874915e-06,8600.118562325279,0.08600119971495002,-1.7786528806281272e-06,0.0
0.00016730911411301844,5975.960701163555,0.0001,1.000000169951589e-05,-7.807857217599603e-12,-1.5622454151297205e-06,8497.583127883512,0.08497584572061267,-1.7710884847089096e-06,0.0
0.00016859927900921508,5930.223465939871,0.0001,1.0000001762018358e-05,-8.00548658324259e-12,-1.5698250664180648e-06,8396.270178264931,0.0839627165770315,-1.7635088542547213e-06,0.0
0.00016989939270866818,5884.836223762914,0.0001,1.0000001826079963e-05,-8.206431989018875e-12,-1.577419774504179e-06,8296.165138321572,0.08296166653267666,-1.7559141675224754e-06,0.0
0.00017120953192923557,5839.7962963961645,0.0001,1.00000018917268e-05,-8.410743785538928e-12,-1.585029359540317e-06,8197.253606678463,0.08197255157374897,-1.7483046043686163e-06,0.0
0.0001725297739803655,5795.101026097696,0.0001,1.0000001958985358e-05,-8.618472969375818e-12,-1.5926536400935584e-06,8099.521353661949,0.08099522940346324,-1.7406803462348945e-06,0.0
0.0001738601967676608,5750.747775463273,0.0001,1.0000002027882527e-05,-8.829671189100473e-12,-1.6002924331604182e-06,8002.954319252453,0.08002955942157576,-1.7330415761337575e-06,0.0
0.00017520087879747511,5706.733927270754,0.0001,1.0000002098445601e-05,-9.044390751336307e-12,-1.6079455541817722e-06,7907.538611061819,0.0790754027041578,-1.7253884786334281e-06,0.0
0.00017655189918154432,5663.056884325682,0.0001,1.0000002170702287e-05,-9.262684626833131e-12,-1.6156128170581294e-06,7813.260502334771,0.07813262198361015,-1.7177212398426328e-06,0.0
0.00017791333764165718,5619.71406930796,0.0001,1.0000002244680705e-05,-9.484606456560595e-12,-1.6232940341652559e-06,7720.10642997401,0.07720108162891404,-1.7100400473949791e-06,0.0
0.000179285274514357,5576.702924619841,0.0001,1.0000002320409396e-05,-9.710210557819384e-12,-1.6309890163701126e-06,7628.062992589148,0.07628064762612052,-1.7023450904330192e-06,0.0
0.0001806677907556847,5534.020912234933,0.0001,1.000000239791733e-05,-9.93955193037133e-12,-1.6386975730471578e-06,7537.116948568599,0.07537118755906934,-1.6946365595919524e-06,0.0
0.00018206096794595343,5491.665513548515,0.0001,1.0000002477233907e-05,-1.0172686262586324e-11,-1.6464195120949468e-06,7447.25521417475,0.07447257059034063,-1.686914646983022e-06,0.0
0.0001834648882945647,5449.63422922884,0.0001,1.0000002558388964e-05,-1.0409669937607246e-11,-1.6541546399530991e-06,7358.464861661575,0.07358466744243104,-1.6791795461765554e-06,0.0
0.00018487963464485852,5407.924579069693,0.0001,1.000000264141278e-05,-1.065056003953121e-11,-1.661902761619563e-06,7270.733117414861,0.07270735037915599,-1.6714314521846972e-06,0.0
0.00018630529047900077,5366.5341018440595,0.0001,1.0000002726336085e-05,-1.0895414359607049e-11,-1.6696636806682142e-06,7184.047360114637,0.07184049318727392,-1.6636705614438142e-06,0.0
0.00018774193992291183,5325.460355158826,0.0001,1.0000002813190059e-05,-1.1144291402449345e-11,-1.6774371992667933e-06,7098.395118919284,0.07098397115832743,-1.6558970717965595e-06,0.0
