a,z,Gamma,H,rho_A,rho_B,Omega_A,Omega_B,w_dark,w_B_eff,D,f
0.0001328728336348497,7524.99288089331,1.049153460706626e-07,44311973.307826005,116071849502.29071,-7798.520258822568,0.268537237299382,-1.8042213459225916e-08,6.718701232229387e-08,-0.4794859428270859,0.0003079828990548342,0.8468578353320854
0.0001338974512507081,7467.40205440215,1.0608117988541366e-07,43689722.75639138,113427553245.15762,-7705.53362793428,0.2699477919282086,-1.8338505318840768e-08,6.793353053066358e-08,-0.4794853819450263,0.0003099895348983342,0.8439989037324862
0.00013492996996440545,7410.251927676262,1.0725996860652008e-07,43076486.16740533,110843498145.63234,-7613.6556357569725,0.27136227826669423,-1.863942381665513e-08,6.868834244768344e-08,-0.47948481429861145,0.00031200245759221534,0.8411939749218813
0.00013597045070340064,7353.5391283680565,1.0845185619069101e-07,42472129.970807664,108318311817.0045,-7522.873064479579,0.2727806708693031,-1.894503641138911e-08,6.945154019445963e-08,-0.4794842398062421,0.00031402174939130644,0.8384422427099735
0.00013701895486497917,7297.260309936076,1.096569881943012e-07,41876522.60379558,105850653137.65704,-7433.172853881252,0.2742029439186301,-1.925541145730713e-08,7.022321691483416e-08,-0.4794836583853348,0.00031604749323633526,0.8357429178814265
0.00013807554431987816,7241.412151447403,1.1087551179116892e-07,41289534.48043594,103439211538.795,-7344.542099452345,0.27562907122621816,-1.9570618214686083e-08,7.100346678672928e-08,-0.4794830699523086,0.0003180797727582025,0.8330952277071442
0.00013914028141593626,7185.991357381761,1.1210757579052813e-07,40711037.96174069,101082706308.4067,-7256.968050537992,0.27705902623343687,-1.9890726860386836e-08,7.179238503361578e-08,-0.47948247442257486,0.00032011867228228923,0.8304984154717266
0.0001402132289817721,7130.994657437075,1.1335333065520066e-07,40140907.32619669,98779885911.08171,-7170.438108503831,0.2784927820124328,-2.021580849853131e-08,7.259006793610803e-08,-0.4794818717105236,0.0003221642768327816,0.8279517400164971
0.00014129445033049352,7076.418806336405,1.1461292851997332e-07,39579018.740741864,96529527323.31902,-7084.939824923386,0.27993031126715134,-2.054593517128649e-08,7.339661284368927e-08,-0.47948126172951133,0.0003242166721370292,0.8254544752975049
0.00014238400926343137,7022.260583636557,1.1588652321017434e-07,39025250.23218424,94330435383.98581,-7000.4608997873665,0.28137158633442144,-2.0881179869754504e-08,7.421211818656406e-08,-0.47948064439184945,0.00032627594462992436,0.8230059099579523
0.00014348197007390656,6968.51679353794,1.1717427026046152e-07,38479481.65905282,92181442159.56558,-6916.989179733994,0.2828165791851177,-2.1221616544972273e-08,7.50366834876444e-08,-0.4794800196087906,0.00032834218145830793,0.8206053469145004
0.00014458839755102174,6915.184264696095,1.1847632693381401e-07,37941594.683878265,90081406323.87495,-6834.512656300748,0.2842652614253848,-2.1567320119018995e-08,7.587040937466601e-08,-0.47947938729051676,0.00033041547048540647,0.8182521029569377
0.00014570335698348635,6862.259850034461,1.1979285224073982e-07,37411472.74589241,88029212551.90402,-6753.019464196656,0.2857176042979385,-2.1918366496235164e-08,7.671339759244115e-08,-0.4794787473461256,0.0003324959002952894,0.8159455083607329
0.0001468269141634683,6809.740426558716,1.2112400695869377e-07,36889001.03414386,86023770927.47096,-6672.4978795953875,0.28717357868343263,-2.2274832574551926e-08,7.756575101524514e-08,-0.47947809968361754,0.00033458356019736154,0.8136849065119797
0.00014795913539047555,6757.622895172529,1.2246995365171088e-07,36374066.46102167,84064016364.37096,-6592.93631844868,0.2886331551018965,-2.2636796256932735e-08,7.842757365934015e-08,-0.4794774442098829,0.0003366785402308746,0.811469653544301
0.0001491000874752702,6705.904180494598,1.2383085669026155e-07,35866557.636180066,82148908040.70775,-6514.3233348197045,0.2900963037142472,-2.3004336462929125e-08,7.929897069563916e-08,-0.47947678083068834,0.00033878093116947557,0.8092991179872671
