product_id,source_figure,evidence_level,z,beta_mean,beta_68_low,beta_68_high,beta_95_low,beta_95_high,digitization_sigma
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.41000000000000003,-0.6237424547283701,-1.2354124748490944,0.30181086519114686,-1.6056338028169015,0.3822937625754528,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.42,-0.6237424547283701,-1.1629778672032192,0.30181086519114686,-1.5895372233400402,0.3822937625754528,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.43,-0.6237424547283701,-1.1549295774647885,0.30181086519114686,-1.5653923541247483,0.3661971830985915,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.44,-0.6237424547283701,-1.1468812877263583,-0.11670020120724356,-1.5492957746478875,0.35010060362173046,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.45,-0.6237424547283701,-1.1468812877263583,-0.11670020120724356,-1.5090543259557343,0.3420523138832998,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.46,-0.6156941649899395,-1.1388329979879277,-0.1247484909456742,-1.5090543259557343,0.3340040241448692,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.47000000000000003,-0.6076458752515093,-1.1388329979879277,-0.1247484909456742,-1.5090543259557343,0.31790744466800813,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.48,-0.6076458752515093,-1.1066398390342052,-0.1247484909456742,-1.5010060362173037,0.2776659959758552,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.49,-0.6076458752515093,-1.0422535211267605,-0.1247484909456742,-1.492957746478873,0.2776659959758552,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.5,-0.6076458752515093,-1.0342052313883299,-0.1247484909456742,-1.4849094567404428,0.2776659959758552,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.51,-0.6116700201207244,-1.0342052313883299,-0.13279678068410483,-1.4688128772635816,0.2615694164989939,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.52,-0.9778672032193159,-1.0342052313883299,-0.14889336016096566,-1.460764587525151,0.24547283702213285,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.53,-0.9778672032193159,-1.0342052313883299,-0.1569416498993963,-1.4527162977867203,0.23742454728370221,0.035
desi_dr2_cmb_desi,fig_reconstruct,digitized_uncertainty,0.54,-0.9778672032193159,-1.3319919517102616,-0.1569416498993963,-1.404426559356137,0.22132796780684094,0.035
