product_id,source_figure,representation,family_id,family_class,parameter_count_fixed_mode,parameter_count_descriptive_mode,rms_error,uncertainty_weighted_rms,max_error,peak_offset_delta_z,weighted_mean_offset_delta_z,support_overlap,high_z_support_capture,low_z_mismatch,transition_mismatch,explained_fraction_vs_zero,compression_efficiency_fixed_mode,aic_like_fixed_mode,bic_like_fixed_mode,aic_like_descriptive_mode,bic_like_descriptive_mode,fit_parameters
desi_dr2_desy5,fig_reconstruct,positive_support,tomographic_5_bins,tomographic,5,5,0.1919645819326127,0.1919645819326127,0.6588235294117646,0.30000000000000027,0.015425352560062056,0.7257726692940778,0.7608198219029343,0.024063725243297446,0.07468994211998504,0.8385690137820014,0.1677138027564003,19.249450579857257,36.876715275516176,19.249450579857257,36.876715275516176,"{""n_bins"": 5.0}"
desi_dr2_desy5,fig_reconstruct,evidence_weighted_support,zero_coupling,zero,0,0,0.43501073349392894,0.4972404678365051,1.0,2.04,1.9621001560995017,0.0,0.0,0.0026576696966145175,0.02418532993586032,0.0,0.0,47.0578891647547,47.0578891647547,47.0578891647547,47.0578891647547,{}
desi_dr2_desy5,fig_reconstruct,evidence_weighted_support,retained_gamma,retained,0,2,0.5803135909214081,0.5110162765880731,0.877072001624889,0.0,0.5567169852454288,0.35190845948346605,0.6372184238687285,0.6156330191903293,0.7555221507474238,-0.05617658152624938,-0.05617658152624938,49.70144051187175,49.70144051187175,53.70144051187175,60.752346390135315,{}
desi_dr2_desy5,fig_reconstruct,evidence_weighted_support,logistic_transition,transition,2,2,0.13665083572753114,0.137161040337829,0.5741951332591196,0.45999999999999996,0.027067082009783805,0.7424262838062372,0.7905701675805761,0.026196507955911726,0.06115565929639616,0.9239098205762653,0.4619549102881326,7.580643229848406,14.631549108111972,7.580643229848406,14.631549108111972,"{""center_ln_a"": -1.085727906029319, ""center_z"": 1.961594797042658, ""width_ln_a"": 0.15831932773109245}"
desi_dr2_desy5,fig_reconstruct,evidence_weighted_support,gaussian_ln_a,smooth_pulse,2,2,0.14756451029614834,0.1503030485889434,0.6505574641920452,0.45999999999999996,0.049787483069129834,0.7517512502398395,0.7716064044787658,0.005454439071225123,0.023571121830439707,0.9086302059278416,0.4543151029639208,8.29966964245409,15.350575520717657,8.29966964245409,15.350575520717657,"{""center_ln_a"": -1.252762968495368, ""center_z"": 2.5, ""width_ln_a"": 0.21747899159663867}"
desi_dr2_desy5,fig_reconstruct,evidence_weighted_support,logistic_pulse,smooth_pulse,2,2,0.1458796696493293,0.14817913488694037,0.6318934735438322,0.45999999999999996,0.009468040821025703,0.7400121621464972,0.7733453940491183,0.01752210179742995,0.04581485776343466,0.911194231468383,0.4555971157341915,8.179012012751697,15.229917891015264,8.179012012751697,15.229917891015264,"{""center_ln_a"": -1.252762968495368, ""center_z"": 2.5, ""width_ln_a"": 0.14352941176470588}"
desi_dr2_desy5,fig_reconstruct,evidence_weighted_support,tomographic_3_bins,tomographic,3,3,0.33980907004803257,0.33487804612500793,0.877345649003403,0.73,0.108938092430922,0.555433036371472,0.6299173981017312,0.035682178502149414,0.07066686561388276,0.5464340734945041,0.1821446911648347,27.343855098404898,37.92021391580025,27.343855098404898,37.92021391580025,"{""n_bins"": 3.0}"
desi_dr2_desy5,fig_reconstruct,evidence_weighted_support,tomographic_5_bins,tomographic,5,5,0.21390764385363567,0.21154713382197524,0.877345649003403,0.31000000000000005,0.02315375968750044,0.6916597254971313,0.7208787767513799,0.006811319705329876,0.04132605430809342,0.8189988399033588,0.16379976798067175,18.517532530519766,36.14479722617868,18.517532530519766,36.14479722617868,"{""n_bins"": 5.0}"
desi_dr2_pp,fig_reconstruct,signed_history,zero_coupling,zero,0,0,0.4991808389332817,0.4591655720180654,1.0,2.2,1.5393413569633647,0.0,0.0,0.2820242914979757,0.22118948508866965,0.0,0.0,439.04792452997316,439.04792452997316,439.04792452997316,439.04792452997316,{}
desi_dr2_pp,fig_reconstruct,signed_history,retained_gamma,retained,0,2,0.6909968754336687,0.7441063699845354,1.303605179430159,0.16000000000000014,0.13395818610929155,0.5178334241260528,0.6687900128983372,0.889386206431929,0.9193581096339624,-1.6262218471088996,-1.6262218471088996,1153.0372513284349,1153.0372513284349,1157.0372513284349,1164.0881572066985,{}
desi_dr2_pp,fig_reconstruct,signed_history,logistic_transition,transition,2,2,0.24782603654197044,0.18213953668547003,0.7636973637825286,2.2,0.18252554464265702,0.6848695703294372,0.8309995442609648,0.2712099143514653,0.10888410596392481,0.8426488866572124,0.4213244433286062,73.0846797356315,80.13558561389506,73.0846797356315,80.13558561389506,"{""center_ln_a"": -0.6681402498641963, ""center_z"": 0.9506063049509912, ""width_ln_a"": 1.8}"
desi_dr2_pp,fig_reconstruct,signed_history,gaussian_ln_a,smooth_pulse,2,2,0.6875005363686042,0.747556134446753,1.2712348493909038,0.4800000000000002,0.12533519116545522,0.5212978324962536,0.6762164984339131,0.8625749977034028,0.940493957459792,-1.6506292394411815,-0.8253146197205907,1167.753266275112,1174.8041721533757,1167.753266275112,1174.8041721533757,{}
desi_dr2_pp,fig_reconstruct,signed_history,logistic_pulse,smooth_pulse,2,2,0.6832429040694061,0.7410378137720556,1.2637755858331197,0.4800000000000002,0.12659621849027847,0.5233606307819016,0.6777510595682078,0.8599353609946033,0.9284273076379225,-1.604606407758463,-0.8023032038792315,1147.5470375438222,1154.5979434220858,1147.5470375438222,1154.5979434220858,{}
desi_dr2_pp,fig_reconstruct,signed_history,tomographic_3_bins,tomographic,3,3,0.34393123701909856,0.3442963316112713,0.7044534412955467,0.8900000000000001,0.02824407342651991,0.6036934496839861,0.6613220026456086,0.19114611345828914,0.19632835798693168,0.4377542827951473,0.1459180942650491,252.85281521465683,263.4291740320522,252.85281521465683,263.4291740320522,"{""n_bins"": 3.0}"
desi_dr2_pp,fig_reconstruct,signed_history,tomographic_5_bins,tomographic,5,5,0.25423427564670065,0.25003747313581337,0.6720647773279353,0.4700000000000002,0.005952609921060281,0.6806414131491163,0.7264985988578796,0.14466498639751044,0.17311702668460438,0.7034679993536972,0.14069359987073943,140.19175944047987,157.81902413613878,140.19175944047987,157.81902413613878,"{""n_bins"": 5.0}"
desi_dr2_pp,fig_reconstruct,positive_support,zero_coupling,zero,0,0,0.4558971060276377,0.4558971060276377,1.0,2.2,1.9172267087865895,0.0,0.0,0.005465587044534408,0.040770941438102296,0.0,0.0,52.168384992378165,52.168384992378165,52.168384992378165,52.168384992378165,{}
