# w(z) comparison over z_desi grid
z,w_QFUDS_tanh,w_DESI_CPL
0.05,19.0,0.021434719558619607,0.5835006990957559,0.39506458134562455
0.05798319327731093,16.246376811594203,0.018538219490566644,0.585226144702202,0.3962356358072313
0.06596638655462185,14.159235668789808,0.016331324352181893,0.5865400478120228,0.39712862783579533
0.07394957983193277,12.522727272727273,0.014593952971159504,0.5875735313878597,0.3978325156409807
0.0819327731092437,11.205128205128204,0.013190667284927817,0.58840721712178,0.3984021155932922
0.08991596638655462,10.121495327102803,0.012033549094218037,0.5890933510829613,0.39887309982282054
0.09789915966386555,9.214592274678111,0.011063039117602204,0.5896672157127187,0.3992697451696789
0.10588235294117647,8.444444444444445,0.010237355279598548,0.5901534220003868,0.3996092227200148
0.11386554621848739,7.78228782287823,0.009526319849138563,0.590569567118165,0.39990411303269635
0.12184873949579832,7.206896551724139,0.008907591422287066,0.5909284505634883,0.40016395801422455
0.12983193277310923,6.702265372168286,0.008364275277618067,0.5912394583492769,0.40039626637310505
0.13781512605042018,6.2560975609756095,0.00788335755314107,0.5915094425494083,0.4006071998974506
0.14579831932773107,5.858789625360232,0.007454649784359903,0.5917432786343203,0.4008020715813198
0.15378151260504203,5.502732240437158,0.007070059585205256,0.591944204486793,0.4009857359280018
0.16176470588235292,5.1818181818181825,0.006723075472754318,0.5921139999697022,0.40116292455754354
0.16974789915966387,4.891089108910891,0.006408395677184398,0.5922530384012248,0.40133856592159073
0.17773109243697477,4.626477541371159,0.0061216558003566336,0.5923602230345095,0.40151812116513386
0.18571428571428572,4.384615384615384,0.005859225575393346,0.5924328081786606,0.401707966245946
0.19369747899159662,4.162689804772235,0.005618054682008761,0.5924660934262179,0.4019158518917733
0.20168067226890757,3.958333333333333,0.0053955538262723856,0.5924529691593208,0.40215147701440696
0.20966386554621846,3.7695390781563134,0.0051895014063941544,0.5923832814553849,0.4024272171382211
0.21764705882352942,3.5945945945945947,0.004997968844581923,0.5922429748514396,0.4027590563039784
0.2256302521008403,3.4320297951582877,0.0048192595585477005,0.5920129634176734,0.403167777023779
0.23361344537815126,3.2805755395683454,0.0046518578947080495,0.5916676773269192,0.4036804647783727
0.24159663865546216,3.139130434782609,0.004494385375169859,0.5911732397077999,0.4043323749170303
0.2495798319327731,3.006734006734007,0.0043455625040370385,0.5904852579015035,0.4051691795944594
0.257563025210084,2.882544861337684,0.004204175302675496,0.5895462818228938,0.40624954287443077
0.26554621848739496,2.7658227848101267,0.0040690468615125295,0.588283114880112,0.40764783825837536
0.27352941176470585,2.655913978494624,0.003939015642153017,0.5866043882774934,0.4094565960803537
0.2815126050420168,2.5522388059701493,0.0038129240528668932,0.584399144050514,0.4117879318966191
0.2894957983193277,2.454281567489115,0.0036896226559906256,0.5815375839817902,0.414772793362219
0.29747899159663865,2.361581920903955,0.0035679963632297665,0.5778754894172132,0.418556514219557
0.30546218487394955,2.273727647867951,0.0034470174996281706,0.5732637926669202,0.42328918983345165
