a,D_over_a_LCDM,D_over_a_V2,fsig8_LCDM,fsig8_V2
0.3478264132066033,0.8875552788779478,0.7218909642265657,0.3353863865014967,0.2707902592061865
0.34832616308154074,0.8874950480449947,0.7218347825459362,0.3357793406509408,0.2711212893238461
0.3488259129564782,0.8874346686509297,0.7217785519514648,0.33617183759908553,0.2714518532799719
0.3493256628314157,0.8873741406087341,0.7217222715756509,0.33656387630490886,0.2717819498805535
0.34982541270635314,0.8873134638374495,0.7216659405544988,0.3369554556327017,0.2721115780328616
0.3503251625812906,0.8872526382577668,0.7216095580325854,0.33734657444535227,0.2724407365053277
0.3508249124562281,0.8871916637804489,0.7215531231583625,0.3377372317327014,0.2727694243816166
0.35132466233116555,0.8871305402901934,0.721496635086794,0.3381274267499746,0.2730976407592222
0.351824412206103,0.8870692677008323,0.7214400929791467,0.3385171586996301,0.27342538482051826
0.3523241620810405,0.8870078459296702,0.7213834960032389,0.33890642680789373,0.27375265583354275
0.35282391195597795,0.886946274890929,0.7213268433337527,0.3392952304941324,0.27407945315419247
0.3533236618309154,0.8868845544997992,0.721270134152257,0.33968356923103976,0.274405776221097
0.3538234117058529,0.8868226846706151,0.72121336764806,0.34007144244895116,0.27473162458281475
0.35432316158079036,0.8867606653180407,0.721156543016834,0.3404588494690323,0.2750569977315954
0.3548229114557278,0.8866984963594567,0.7210996594609622,0.34084578946804817,0.2753818949067968
0.3553226613306653,0.8866361777167652,0.7210427161921347,0.34123226147744123,0.2757063151836842
0.35582241120560276,0.8865737093158426,0.7209857124241362,0.3416182644194787,0.2760302577521665
0.3563221610805402,0.8865110910818991,0.7209286473767856,0.3420037971832515,0.27635372188528906
0.3568219109554777,0.886448322929016,0.7208715202779803,0.3423888587433419,0.2766767069170451
0.35732166083041517,0.8863854047543576,0.7208143303614704,0.34277344828124884,0.276999212275613
0.3578214107053526,0.8863223364872248,0.72075707686777,0.34315756499809863,0.2773212374730781
0.3583211605802901,0.8862591180488889,0.7206997590443839,0.343541208170924,0.2776427821061567
0.35882091045522757,0.8861957493599648,0.7206423761455768,0.3439243771834778,0.277963845864151
0.359320660330165,0.8861322303424831,0.7205849274334402,0.34430707148284306,0.2782844285028913
0.3598204102051025,0.8860685609198912,0.7205274121792083,0.34468929052355374,0.2786045298776255
0.36032016008004,0.8860047410175189,0.7204698296596848,0.34507103370584447,0.2789241498449902
0.3608199099549775,0.8859407705629668,0.7204121791592729,0.3454523003207103,0.2792432880625767
0.36131965982991493,0.8858766494858789,0.7203544599701305,0.3458330895145972,0.27956194399379647
0.3618194097048524,0.8858123777165703,0.7202966713909911,0.3462134002866869,0.2798801170387765
0.3623191595797899,0.8857479551829833,0.7202388127257662,0.34659323153187976,0.2801978066939842
0.36281890945472733,0.8856833818054517,0.7201808832830273,0.3469725821427199,0.28051501264219675
