z,E_LCDM,E_V1,E_V2,dmu_V1,dmu_V2
1.9238476953907815,2.9266215514459857,1.5100251259172561,2.9386441485826587,0.7483136225730931,-0.0006681406749962093
1.9358717434869739,2.9432569086622506,1.5167364428659589,2.9558249866996293,0.7511492104967346,-0.0006974628813267714
1.9478957915831663,2.959934515124469,1.5235175578498772,2.973063077505264,0.753958078335792,-0.0007276381838252632
1.9599198396793587,2.976654214439446,1.5303682361557327,2.9903581747104973,0.756740294163464,-0.0007586700810620073
1.971943887775551,2.993415851935548,1.5372881783856405,3.007710012573562,0.7594959336820679,-0.0007905611804872592
1.9839679358717435,3.010219274636479,1.5442770223111377,3.025118306610717,0.7622250802845016,-0.0008233131965909024
1.9959919839679359,3.0270643312355046,1.5513343450366155,3.042582754404254,0.7649278250847118,-0.0008569269523945877
2.0080160320641283,3.0439508720700967,1.558459665444371,3.060103036497816,0.7676042669172247,-0.0008914023844397434
2.0200400801603204,3.0608787490970135,1.5656524468911928,3.077678817368386,0.7702545123063302,-0.0009267385509943438
2.032064128256513,3.077847815867799,1.572912100124688,3.09530974646388,0.7728786754057069,-0.0009629336434215929
2.0440881763527052,3.0948579275046897,1.5802379863864155,3.1129954592949853,0.7754768779094405,-0.000999985000547099
2.056112224448898,3.1119089406769387,1.5876294206683297,3.130735578569839,0.7780492489357798,-0.0010378891259179568
2.06813627254509,3.12900071357753,1.5950856750890179,3.1485297153602194,0.7805959248849632,-0.0010766417075416257
2.0801603206412826,3.1461331059002933,1.6026059823567191,3.16637747028823,0.7831170492728106,-0.0011162376403035523
2.092184368737475,3.163305978817408,1.6101895392874237,3.184278434722974,0.7856127725418389,-0.0011566710502535216
2.1042084168336674,3.180519194957283,1.6178355103447737,3.2022321919761967,0.7880832518516598,-0.001197935321300747
2.1162324649298596,3.197772618382817,1.6255430311805965,3.220238318490318,0.7905286508506961,-0.0012400231233300474
2.1282565130260522,3.215066114570028,1.633311212136131,3.238296385005445,0.7929491394312791,-0.0012829264420375353
2.1402805611222444,3.232399550387042,1.6411391416922445,3.2564059577022193,0.795344893470002,-0.0013266366100168625
2.152304609218437,3.24977279407345,1.6490258898385692,3.274566599310655,0.7977160945555752,-0.001371144338882857
2.164328657314629,3.2671857152199957,1.656970511344388,3.2927778701797608,0.8000629297058879,-0.0014164397523899197
2.176352705410822,3.2846381847486357,1.6649720489137372,3.3110393293025906,0.8023855910767566,-0.0014625124200335904
2.188376753507014,3.3021300748929128,1.6730295362101033,3.3293505352923147,0.8046842756637673,-0.0015093513911281775
2.200400801603206,3.319661259178687,1.681142000738664,3.347711047305846,0.8069591849993856,-0.0015569452292112373
2.212424849699399,3.3372316124051746,1.6893084665764426,3.366120425912279,0.8092105248470318,-0.0016052820463983153
2.224448897795591,3.354841010626324,1.6975279569431083,3.384578233904267,0.811438504893701,-0.0016543495376879491
2.2364729458917836,3.372489331132502,1.7057994966073264,3.403084037051119,0.8136433384428585,-0.0017041350149327172
2.2484969939879758,3.3901764524324913,1.7141221141256109,3.421637404793082,0.8158252421088932,-0.0017546254404336992
2.2605210420841684,3.4079022542357995,1.7224948439124856,3.440237910876903,0.8179844355145605,-0.0018058074599736074
2.2725450901803605,3.425666617435264,1.7309167281424247,3.4588851339332414,0.8201211409925122,-0.0018576674351820088
2.284569138276553,3.4434694240899506,1.7393868184855352,3.4775786579970247,0.8222355832922474,-0.0019101914751047389
2.2965931863727453,3.4613105574083534,1.747904177680243,3.4963180729722305,0.8243279892930886,-0.001963365466899347
2.308617234468938,3.479189901731866,1.756467880947336,3.515102975042894,0.8263985877244124,-0.002017175105663682
2.32064128256513,3.4971073425185417,1.7650770172506718,3.5339329670324617,0.8284476088935833,-0.002071605923156028
2.3326653306613228,3.515062766327129,1.773730690410608,3.5528076587138155,0.8304752844224055,-0.002126643315499166
2.344689378757515,3.533056060801373,1.7824280200768254,3.571726667072462,0.8324818469924793,-0.002182272569754673
2.3567134268537075,3.551087114654586,1.7911681425676618,3.590689616525516,0.8344675300999782,-0.0022384788894456165
2.3687374749498997,3.5691558176544786,1.7999502115834243,3.609696139099194,0.8364325678202746,-0.002295247418743429
2.3807615230460923,3.5872620606082486,1.8087733988013284,3.628745874567551,0.8383771945823142,-0.0023525632656102857
2.3927855711422845,3.6054057353479143,1.8176368943598333,3.6478384705552376,0.8403016449533354,-0.0024104115237832957
2.404809619238477,3.6235867347159063,1.8265399072401438,3.666973582607006,0.842206153433743,-0.0024687772934512964
2.4168336673346693,3.6418049525508938,1.835481665552575,3.68615087422666,0.8440909542623558,-0.0025276457008232
2.4288577154308615,3.6600602836738503,1.844461416735342,3.705370016888078,0.84595628123175,-0.0025870019165594726
2.440881763527054,3.6783526238743605,1.853478427673134,3.7246306900208466,0.8478023675139426,-0.0026468311730454275
2.4529058116232463,3.696681869897143,1.8625319847425954,3.743932580972949,0.8496294454960491,-0.0027071187804210695
2.464929859719439,3.7150479194288186,1.8716213937915505,3.7632753849528493,0.8514377466257983,-0.0027678501417653933
2.476953907815631,3.733450671084877,1.880745980058499,3.782658804953173,0.853227501266808,-0.002829010766966178
2.4889779559118237,3.751890024396883,1.889905088038595,3.8020825516581054,0.8549989385632486,-0.002890586285701602
2.501002004008016,3.7703658797998845,1.8990980813019618,3.8215463433364514,0.8567522863137995,-0.0029525624593418343
2.5130260521042085,3.7888781386200305,1.9083243422698415,3.8410499057222163,0.8584877708543388,-0.003014925191969553
2.5250501002004007,3.807426703062398,1.9175832719537587,3.860592971884417,0.8602056169495143,-0.003077660540384386
2.5370741482965933,3.8260114761990245,1.9268742896624809,3.8801752820877207,0.8619060476924361,-0.003140754723290229
