z_star,omega_m0,c_eff2,S8,chi2_fsigma8,chi2_S8,chi2_total,dmu_gate_mag
5.0,0.31,2.154435e-07,0.9228,37.388,66.239,103.628,0.0090
5.0,0.31,4.641589e-07,0.9035,26.921,51.473,78.395,0.0090
5.0,0.31,1.000000e-06,0.8761,16.216,33.703,49.919,0.0090
5.0,0.31,2.154435e-06,0.8442,9.265,17.718,26.983,0.0090
5.0,0.31,4.641589e-06,0.8125,7.225,6.882,14.107,0.0090
5.0,0.31,1.000000e-05,0.7834,8.525,1.371,9.896,0.0090
5.0,0.31,2.154435e-05,0.7574,11.511,0.017,11.528,0.0090
5.0,0.31,4.641589e-05,0.7342,15.270,1.666,16.937,0.0090
5.0,0.31,1.000000e-04,0.7139,19.286,5.307,24.594,0.0090
5.0,0.31,2.154435e-04,0.6971,23.114,9.885,32.999,0.0090
5.0,0.31,4.641589e-04,0.6843,26.322,14.310,40.632,0.0090
5.0,0.31,1.000000e-03,0.6757,28.635,17.760,46.395,0.0090
5.0,0.31,2.154435e-03,0.6706,30.068,19.992,50.061,0.0090
5.0,0.31,4.641589e-03,0.6678,30.856,21.246,52.102,0.0090
5.0,0.31,1.000000e-02,0.6664,31.255,21.889,53.144,0.0090
5.0,0.33,1.000000e-07,0.9754,51.474,115.999,167.473,0.0265
5.0,0.33,2.154435e-07,0.9645,43.925,104.583,148.508,0.0265
5.0,0.33,4.641589e-07,0.9461,32.947,86.588,119.535,0.0265
5.0,0.33,1.000000e-06,0.9197,21.015,63.794,84.810,0.0265
5.0,0.33,2.154435e-06,0.8888,12.168,41.455,53.623,0.0265
5.0,0.33,4.641589e-06,0.8578,8.043,23.933,31.976,0.0265
5.0,0.33,1.000000e-05,0.8295,7.437,12.059,19.496,0.0265
5.0,0.33,2.154435e-05,0.8040,8.769,4.830,13.598,0.0265
5.0,0.33,4.641589e-05,0.7812,11.090,1.119,12.208,0.0265
5.0,0.33,1.000000e-04,0.7612,13.865,0.003,13.869,0.0265
5.0,0.33,2.154435e-04,0.7444,16.677,0.605,17.282,0.0265
5.0,0.33,4.641589e-04,0.7316,19.130,2.013,21.143,0.0265
5.0,0.33,1.000000e-03,0.7229,20.948,3.444,24.392,0.0265
5.0,0.33,2.154435e-03,0.7176,22.097,4.487,26.584,0.0265
5.0,0.33,4.641589e-03,0.7148,22.736,5.107,27.843,0.0265
5.0,0.33,1.000000e-02,0.7134,23.062,5.435,28.497,0.0265
6.0,0.29,1.000000e-07,0.8858,36.223,39.560,75.782,0.0462
6.0,0.29,2.154435e-07,0.8749,29.648,32.984,62.632,0.0462
6.0,0.29,4.641589e-07,0.8568,20.737,23.412,44.149,0.0462
6.0,0.29,1.000000e-06,0.8318,12.303,12.904,25.207,0.0462
6.0,0.29,2.154435e-06,0.8041,7.695,4.855,12.550,0.0462
6.0,0.29,4.641589e-06,0.7780,7.236,0.813,8.049,0.0462
6.0,0.29,1.000000e-05,0.7556,9.080,0.048,9.128,0.0462
6.0,0.29,2.154435e-05,0.7365,11.760,1.385,13.144,0.0462
6.0,0.29,4.641589e-05,0.7199,14.646,4.011,18.657,0.0462
6.0,0.29,1.000000e-04,0.7058,17.469,7.344,24.813,0.0462
6.0,0.29,2.154435e-04,0.6942,20.011,10.818,30.829,0.0462
6.0,0.29,4.641589e-04,0.6855,22.057,13.869,35.926,0.0462
6.0,0.29,1.000000e-03,0.6797,23.489,16.115,39.604,0.0462
6.0,0.29,2.154435e-03,0.6763,24.359,17.517,41.876,0.0462
6.0,0.29,4.641589e-03,0.6745,24.830,18.289,43.119,0.0462
6.0,0.29,1.000000e-02,0.6736,25.067,18.680,43.747,0.0462
6.0,0.31,1.000000e-07,0.9284,42.598,70.899,113.497,0.0090
6.0,0.31,2.154435e-07,0.9180,35.754,62.395,98.149,0.0090
6.0,0.31,4.641589e-07,0.9006,26.108,49.431,75.538,0.0090
6.0,0.31,1.000000e-06,0.8765,16.204,33.917,50.122,0.0090
